X,Y
"Настоящее изобретение главным образом относится к типам хромограмм, изготовленных с помощью связующего материала, содержащего чешуйки и/или красящее вещество, использующегося в ходе горячего тиснения и обеспечивающего наличие оптических и/или магнитных эффектов.",Связующий материал; Чешуйки; Красящее вещество; Оптические эффекты; Магнитные эффекты;
"Чешуйки с оптическими характеристиками, размещенные в связующем материале, могут иметь одну или несколько заранее заданных оптических характеристик, например, чешуйки могут иметь цвет, изменяющийся в зависимости от угла падения света, или чешуйки могут быть дифракционными, или могут содержать скрытые символы, расположенные в них или на них, или чешуйки просто могут быть отражающими или поглощающими свет.",Свет; Изменение цвета чешуек;
"Краски и/или другие пигменты можно добавлять к связующему материалу с целью изменения цвета интерференционных и/или дифракционных пигментов, включая скрытые пластинки, известные как химические маркеры и другие частицы определенной формы.",Интерференционные пигменты;
"Полимер, на котором можно выдавить изображение, может быть изготовлен из таких материалов, как ПЭТ типа G, поликарбонат, поливинилхлорид или полиметакрилат.",Полимер;
"Деметаллизированный слой может быть изготовлен из Al, Cu, Ni или других металлов или сплавов металлов в виде узора, созданного при деметаллизации.",Деметаллизированный слой;
"В процессе этой технологии методом химического вытравливания или лазерного выпаривания происходит деметаллизация поверхности голограммы (то есть, металла, на котором и создаются голографические изображения).",Деметаллизация материала;
"Абляция – термин, обозначающий процесс уноса вещества с поверхности твёрдого тела под воздействием излучений и обтекающего потока горячего газа.",Поток вещества;
"На алюминиевом слое узор формируется с помощью процесса деметаллизации (лазерная абляция, химическое травление или масляная абляция флексографического печатного изображения в вакуумной машине).",Алюминиевый слой;
"Эффект Магнуса — физическое явление, возникающее при обтекании вращающегося тела потоком жидкости или газа.",Поток жидкости или газа;
"Принципиально сам эффект заключается в том, что при обтекании вращающегося цилиндра возникает разность давлений над и под цилиндром.",Разность давлений;
"Это обусловлено тем, что набегающий поток, совпадающий с направлением вращения цилиндра, накладывается на ламинарный слой воздуха на самом цилиндре.",Ламинарный слой воздуха;
"При этом скорость потока и скорость вращения цилиндра складываются, то есть общая скорость обтекания цилиндра увеличивается.",Скорость потока; Скорость вращения цилиндра;
"Термоэлектрический эффект переноса энергии при прохождении электрического тока в месте контакта (спая) двух разнородных проводников, от одного проводника к другому.",Электрический ток;
"Элемент Пельтье - это термоэлектрический преобразователь, принцип действия которого базируется на возникновении разности температур при протекании электрического тока.",Разность температур;
В основе работы элементов Пельтье лежит контакт двух токопроводящих материалов с разными уровнями энергии электронов в зоне проводимости.,Токопроводящий материал; Уровни энергии электронов;
При поглощении этой энергии происходит охлаждение места контакта полупроводников.,Охлаждение места контакта полупроводников.;
"В этом процессе электромагнитное излучение ведёт себя как поток отдельных частиц – корпускул (которыми в данном случае являются кванты электромагнитного поля - фотоны), что доказывает двойственную – корпускулярно-волновую – природу электромагнитного излучения.",ЭЛМ излучение;
"Эффект сопровождается изменением частоты фотонов, часть энергии которых после рассеяния передается электронам.",Изменение частоты фотонов;
"Ионизация легких атомов по механизму комптон-эффекта происходит при малоугловом рассеянии фотонов, где диапазон углов рассеяния уменьшается, и уменьшается светосила регистрации легких элементов.",Рассеяние на малые углы;
"Этот эффект наиболее существен для кристаллов Nal (Tl), поскольку рентгеновское излучение йода имеет энергию 28 кэВ.",Рентгеновское излучение; Энергия рентгеновского излучения;
"Фотопоглощение (связанно-свободные переходы) - пороговый процесс, в котором участвуют только фотоны с энергией, достаточной для перехода связанного электрона в одно из свободных (несвязанных) состояний.",Фотоны;
"При фотопоглощении фотона на К-оболочке атома фотон исчезает, и образуется атомная К-вакансия, заполнение которой сопровождается только излучением характеристической рентгеновской К-серии фотонов.",Исчезновение фотона; Возникновения атомной К-вакансии; Фотоны;
Процесс фотопоглощения сопровождается характеристическим рентгеновским излучением вещества детектора.,Рентгеновское излучение;
"После того как эти флуоресцирующие дефектные образования, возникшие в процессе литья, выдерживают в течение двух минут при 300°C, отношение длины к ширине у них оказывается равным примерно 1:1, а это означает, что продолговатые флуоресцирующие включения подверглись релаксации и приобрели сферическую форму.",Температура; Флуоресцирующие образования; Изменение формы флуоресцирующих образований ;
"Релаксация — многоступенчатый процесс, так как не все физические параметры системы (распределение частиц по координатам и импульсам, температура, давление, концентрация в малых объёмах и во всей системе и другие) стремятся к равновесию с одинаковой скоростью.",Температура; Изменение параметров;
"Нагревание воды выше 100°С при давлении, равном 1 атмосфере, превращает ее в пар.",Температура; Давление; Пар;
"При охлаждении сверхпроводника, находящегося во внешнем постоянном магнитном поле, в момент перехода в сверхпроводящее состояние магнитное поле полностью вытесняется из его объёма.",Охлаждение; Внешнее постоянное магнитное поле;
Магнитное поле тока уничтожает внутри сверхпроводника внешнее магнитное поле.,Внешнее постоянное магнитное поле; Ток; Сверхпроводник;
"Постоянное магнитное поле выталкивается из сверхпроводниковой шайбы (эффект Мейснера), экранируя внутренний объем.",Внешнее постоянное магнитное поле; Cверхпроводниковая шайба;
"Когда физические тела одной системы находятся при разной температуре, то происходит передача тепловой энергии, или теплопередача от одного тела к другому до наступления термодинамического равновесия.",Тепловая энергия;
"Наиболее близким техническим решением является известный сверхпроводниковый экран магнитного поля, он содержит чередующиеся плоские сверхпроводниковые и проводниковые шайбы, собранные в цилиндр.",Сверхпроводник;
"Первые обеспечивают вытеснение магнитного поля вследствие эффекта Мейснера, вторые обеспечивают теплоотвод, жесткость цилиндра и экранирование переменных полей вследствие индуктивного наведения в них электродвижущей силы и создания экранирующего магнитного поля.",ЭДС;
Для модуляции потока света необходимы две операции: приложение постоянного магнитного поля для насыщения доменов в МО-среде и перпендикулярного ему переменного магнитного поля для модуляции фазового угла Ф.,Модуляция интенсивности потока света; Переменное магнитное поле;
Явление возникновения под действием магнитного поля в оптически изотропных средах двойного лучепреломления.,Оптически изотропная среда; Двойное лучепреломление;
При прохождении света через МО (магнитооптическую)-среду он разлагается на две волны,Магнитооптическое вещество; Световая волна; Свет;
"Магнитное линейное двулучепреломление выражается разностью фаз (Ф) между двумя линейно поляризованными волнами, соответственно параллельной и перпендикулярной направлению постоянного магнитного поля, достаточного для насыщения доменов в кристалле.",Модулирующее магнитное поле; Световая волна;
"Поставленная задача в изобретении решается тем, что в способе модуляции инфракрасного излучения свет подается на рабочий оптический элемент, выполненный из n-слоев, где n≥1, манганита A1-xBxMnO3, в котором трехвалентный редкоземельный металл А частично замещен одно- или двухвалентным металлом В со степенью замещения x, под действием управляющего магнитного поля, в которое помещен рабочий элемент, промодулированное оптическое излучение на выходе рабочего оптического элемента регистрируется фотоприемным элементом, согласно изобретению, свет к поверхности рабочего оптического элемента подают под углом от 5 град. до 75 град. между направлением света и перпендикуляром к поверхности рабочего оптического элемента.",ИК; Магнитное поле; Модулированное ИК; Манганит;
"Магнитопоглощение - это изменение под действием магнитного поля коэффициента поглощения неполяризованного (естественного) света α в магнетике, например, в магнитном полупроводнике: Δα/α=(αH-α)α, где αH - коэффициент поглощения в магнитном поле, α - коэффициент поглощения без магнитного поля.",Естественный свет; Магнитное поле; Коэффициент поглощения; Магнетик;
"Переменное магнитное поле от источника поля вызывает изменение интенсивности излучения, прошедшего через рабочий оптический элемент с частотой, равной удвоенной частоте источника магнитного поля, за счет эффекта магнитопропускания.",Магнитное поле; Интенсивность излучения; Оптический элемент; Переменное магнитное поле;
"Свет подают на рабочий оптический элемент перпендикулярно его освещаемой поверхности, исходя из условия минимальных оптических потерь.",Естественный свет;
"Как было установлено авторами изобретения, тонкопленочные манганиты, приготовленные разными способами, например, состава La0.7Са0.3MnO3 различной толщиной с максимумом колоссального магнитосопротивления вблизи температуры Кюри, обладают гигантским магниторефрактивным эффектом",Тонкоплёночные манганиты.;
"Эффект связан как с изменением пропускания (магнитопропускание) на выходе рабочего оптического элемента, так и отражения (магнитоотражение - ΔR/R) естественного света от поверхности рабочего оптического элемента под действием магнитного поля.",Магнитное поле; Отражённое излучение;
"Магнитоотражение рабочего оптического элемента из пленки La0.7Са0.3MnO3 толщиной 50 нм на прозрачной подложке LaAlO3 достигает больших величин в диапазоне длин волн от 8 до 17 мкм, а магнитопропускание элемента достигает наибольших величин в диапазоне длин волн от ~1.7 до 21 мкм (ИК-диапазон спектра), что в итоге существенно превышает рабочую спектральную область прототипа (2-10 мкм) и других магнитооптических эффектов в манганитах с колоссальным магнитосопротивлением.",Свет ИК-диапазона;
"Так же можно сказать, что данный физический эффект – это квантовомеханическое явление, при котором квантовые состояния двух или большего числа объектов оказываются взаимозависимыми (например, можно получить пару фотонов, находящихся в запутанном состоянии, и тогда если при измерении спина первой частицы спиральность оказывается положительной, то спиральность второй всегда оказывается отрицательной, и наоборот).",Пара спутанных квантовых частиц;
"Измерение параметра одной частицы приводит к мгновенному (выше скорости света) прекращению запутанного состояния другой, что находится в логическом противоречии с принципом локальности (при этом теория относительности не нарушается и информация не передаётся).",Изменение параметров частиц;
"При этом предлагаемое техническое решение (варианты) сконфигурировано таким образом, что центральное место в нем занимает излучатель, испускающий в противоположные стороны (пути) квантовые частицы в виде парных запутанных частиц.",Парные запутанные частицы; Квантовые частицы;
"Эксперименты показывают, что измерения поляризации квантовой частицы (фотона) приводят к коллапсированию волновой функции фотона, что, в свою очередь, предопределяет его поведение в момент наблюдения интерференции.",Коллапс волновой функции фотона;
В этом случае интерференция исчезает.,Исчезновение интерференционной картины;
"Фотообесцвечивание (фотовыцветание, обесцвечивание светом) — фотохимическое разрушение флюорофора.",Разрушение флуорофора;
"Авторы показали, что флуоресценция одной алмазной частицы размером 35 нм значительно ярче, чем одной молекулы красителя, например, Alexa Fluor 546.",Алмазные частицы;
"Положение полос поглощения, связанных с переходами в возбужденное состояние определяется величинами межэлектронного отталкивания и спинорбитального спаривания.",Переход ионов в возбужденное состояние;
"Благодаря эффекту Яна-Теллера движения ферромагнитных электронов и ядер в подрешетке сильно связаны, что обуславливает связь инерционно-гравитационной компоненты и электромагнитной (спиновой) компоненты в ЭМ-солитоне (электромагнитном солитоне).",Электромагнитный солитон;
Таким способом инерционно-гравитационная волна как вторая компонента триединого поля ЭМ-солитона участвует в процессе образования указанного выше триединого поля ЭМ-солитона.,ЭЛМ поле солитона;
"Указанный технический результат обеспечивается тем, что в способе измерения момента инерции, заключающемся в том, что изделие закрепляют на платформе колебательного устройства, закруткой торсиона приводят устройство в колебательное движение, в процессе которого измеряют период и амплитуду колебаний, по которым проводят расчет момента инерции изделия, новым является то, что в процессе измерения периода и амплитуды колебаний, амплитуду колебаний поддерживают постоянной путем компенсации ее уменьшения компенсирующей закруткой торсиона на угол, равный разности начального значения и измеренных значений амплитуды колебаний, причем компенсирующую закрутку производят с помощью привода, установленного на корпусе и связанного с торсионом.",Механические колебания; Момент инерции; Колебательная система;
"В настоящем изобретении под испытуемым движущимся объектом располагается кинематически связанная посредством развязанной в осевом направлении муфты движущаяся площадка, создающая вертикальную разгружающую силу испытуемому объекту посредством воздушной подушки с избыточным давлением или посредством взаимодействия одноименных полюсов магнитов, расположенных на испытуемом объекте и площадке.",Вертикальная сила; Давление; Подвижный объект;
"Гироскопический эффект заключается в том, что под действием внешней силы, перпендикулярной моменту импульса, ось гироскопа поворачивается в плоскости, содержащей момент импульса гироскопа и момент внешней силы.",Гироскоп; Сила;
"В настоящем изобретении сущность эффекта заключается в том, что на заглаживающем устройстве дополнительно устанавливаются вибровозбудители, генерирующие колебания, передаваемые диску и отклоняющие ось вращения диска.",Колебания;
"Известен оросительный холодильник действующий по принципу орошения горизонтального пучка труб струями охлаждающей жидкости, состоящий из нескольких трубных секций, соединенных калачами, при этом жидкий хладагент струями непрерывно стекает по трубам сверху вниз, а охлаждаемая жидкость подается противотоком внутрь труб (Касаткин А.Г. Основные процессы и аппараты химической технологии: учеб. для вузов, 10-е изд. - М.: ООО ТИД «Альянс», 2004 г. - 753 с).",Жидкий хладагент; Охлаждаемая жидкость; Струя;
"Выполнение на теплообменной поверхности в виде вогнутых полусфер позволяет обеспечить капельное кипение охлаждающей жидкости, находящейся в каждой полусфере, при попадании охлаждающей жидкости на теплообменную поверхность, а кипение охлаждающей жидкости в виде капель интенсифицирует процесс отвода тепла от теплообменной поверхности к охлаждающей жидкости, что повышает производительность.",Теплообменная поверхность; Охлаждающая жидкость в виде капель;
"Кроме того, нахождение каждой капли в вогнутой полусфере увеличивает поверхность контакта, так как такая поверхность теплопередачи больше гладкой теплообменной поверхности, используемой в прототипе, что также повышает производительность.",Нахождение каждой капли в вогнутой полусфере;
"Кроме того, парожидкостная смесь при кипении капель внутри полусфер увеличивается в объеме.",Парожидкостная смесь;
"Трение — процесс механического взаимодействия соприкасающихся тел при их относительном смещении в плоскости касания (внешнее трение) либо при относительном смещении параллельных слоёв жидкости, газа или деформируемого твёрдого тела (внутреннее трение, или вязкость).",Смещение тел в плоскости касания;
"Указанный технический результат достигается тем, что состав модификатора трения, включает минеральные компоненты, в качестве которых используют серпентин в виде антигорита и каолин с дисперсностью частиц 1÷5 мкм.",Минеральные компоненты; Состав;
"При этом достигается технический результат, заключающийся в частичной компенсации износа, повышении антифрикционных и противоизносных характеристик работы узлов трения в процессе их безразборной эксплуатации за счет создания на трущихся поверхностях защитного двухслойного покрытия.",Защитное двухслойное покрытие;
"В сверхпроводящем состоянии вдалеке от критической температуры основным «источником» трения являются фононы, а коэффициент трения может уменьшиться в несколько раз.",Коэффициент трения;
"Способ оценки влажности материала в процессе его сушки заключается в измерении датчиками множества факторов, влияющих на процесс сушки пастообразного материала.",Влажность материала; Оценка влажности материала; Пастообразный материал;
"Общие датчики 5 предназначены для определения: влажности и температуры окружающей среды, включения/выключения вытяжного вентилятора, наличия/отсутствия ворошителя, скорости движения пластинчатого конвейера.",Температура среды; Влажность среды;
"Для этой цели хорошие биометрические данные подают на входы нейронов и обучают искусственные нейроны таким образом, чтобы качество и стабильность биометрических данных на выходе каждого нейрона возрастали.",Биометрические данные; Cтабильность и качество; Нейрон;
"Положительным эффектом от применения способа по п.5 является недоступность для злоумышленника наблюдения неравномерности распределения биометрических данных, выраженных в параметрах обученной нейронной сети.",Биометрические данные; Неравномерность распределения биометрических данных; Нейронная сеть;
"Далее цифровые сигналы тока ротора IF, напряжения UG, реактивной составляющей тока статора IR и тока возбуждения возбудителя IOC с выхода блока аналого-цифрового преобразования 6 поступают в операционный блок 7, который осуществляет регулирование по напряжению статора, по изменению первой производной тока ротора и по изменению первой производной напряжения статора генератора с внутренними параметрами регулирования, задаваемыми блоком адаптации параметров 9, а также вырабатывает цифровой сигнал напряжения возбуждения UF, преобразуемый в аналоговую форму блоком цифроаналогового преобразования 8, с выхода которого снимается аналоговый сигнал Uf, подаваемый на возбудитель синхронного генератора.",Цифровой сигнал; Напряжение возбуждения; Аналоговый сигнал;
"Технический результат предлагаемого изобретения направлен на расширение функциональных возможностей, а именно на реализацию различных функциональных зависимостей выходной частоты от входного кода, достигаемую за счет использования искусственной нейронной сети и блока ее обучения, обеспечивающих реализацию требуемой нелинейной зависимости выходной частоты от входного кода.",Частота; Искусственная нейронная сеть и блок ее обучения;
"Технический результат в способе определения уровня яркости в зоне интереса цифрового медицинского рентгеновского изображения, включающем получение изображения, вычисление гистограммы изображения, преобразование значений гистограммы во входные аргументы нейронной сети и вычисление уровня яркости с использованием искусственной нейронной сети, достигается тем, что значения гистограммы вычисляют с заданным интервалом группировки, нормируют к единице и используют в качестве входных аргументов нейронной сети, уровень яркости вычисляют как линейную функцию от выходного значения нейронной сети, а обучение нейронной сети проводят с использованием обучающего множества, вычисленного по заданной базе изображений, в качестве множества целевых значений используют уровни яркости, вычисленные для каждого изображения по зоне интереса и масштабированные к области значений функции активации нейрона выходного слоя нейронной сети.",Искусственная нейронная сеть; Яркость;
"Формируют нечеткую базу знаний для разделения объектов на круглые, эллиптические и гантелеобразные с использованием треугольной функции принадлежности, а для некруглых полосовых и ветвистых объектов - с использованием трапециевидной функции принадлежности на основе экспериментальных данных значений указанных коэффициентов округлости и заполнения и проводят распознавание доменов.",Разделения объектов; Коэффициент округлости;
Преобразование цветного изображения в полутоновое заключается в получении яркости каждой точки.,Яркость изображения;
"Устройство распознавания образов, включающее один или более фоточувствительных элементов, встроенных в прозрачную или полупрозрачную подложку или расположенных на ней, и обрабатывающий элемент, соединенный с одним или более фоточувствительными элементами, встроенный в подложку или расположенный на ней и включающий одну или более нейронных цепей, причем прозрачная или полупрозрачная подложка образует оптический интерфейс между воспринимаемым падающим изображением и одним или более фоточувствительными элементами, и конфигурация каждого фоточувствительного элемента обеспечивает выдачу им сигнала, зависящего от поступающего на его вход света, а конфигурация обрабатывающего элемента обеспечивает распознавание им образа, формируемого выходными сигналами фоточувствительных элементов.",Сигнал; Свет; Нейронные цепи; Прозрачный или полупрозрачный материал;
"Поставленная задача достигается тем, что в способе определения скорости потока вещества в трубопроводе, при котором зондируют поток вещества электромагнитными колебаниями и по средней доплеровской частоте определяют его скорость, зондирование потока вещества осуществляют частотным спектром электромагнитных колебаний, получают и нормируют доплеровские частотные спектры, по которым с помощью нейросети аппроксимируют функцию средней доплеровской частоты.",Поток вещества; ЭЛМ колебания; Частотный спектр;
"Характерная слоистая структура нейросети, в которой слои, состоящие из персептронов, соединены между собой произвольно, позволяет вести параллельную обработку информации.",Слоистая структура нейросети;
"В способе определения реологических свойств полимерных материалов, основанном на измерении температуры на фильере, давления в отделителе низкого давления, уровня в отделителе низкого давления, скорости вращения шнека гранулятора, давления на фильере, в отличие от прототипа сигнал с выхода датчика температуры на фильере подают на первый вход нейросети, представляющей собой трехслойный персептрон, сигнал с выхода датчика давления подают на второй вход нейросети, сигнал с выхода датчика уровня в отделителе низкого давления подают на третий вход нейросети, сигнал с выхода датчика скорости вращения шнека гранулятора подают на четвертый вход нейросети, сигнал с выхода датчика давления на фильере подают на пятый вход нейросети, лабораторным путем определяют реологические характеристики, причем пробы для их определения совмещают во времени с моментами измерения входных параметров нейросети таким образом, чтобы получить наборы данных по срезам времени, количество которых не менее 1000 и по которым обучают нейросеть, после чего прекращают определять реологические характеристики лабораторным путем, а получают их с выхода обученной нейросети.",Температура; Давление; Реологические характеристики; Полимерный материал; Нейросеть;
"В известном способе интеллектуальной обработки информации в нейронной сети, заключающемся в подаче в многослойную рекуррентную сеть с обратными связями, замыкающими контуры с временем задержки единичных образов меньше времени невосприимчивости нейронов сети после их возбуждения, сигнала, разложенного на составляющие в базисе, согласованном с входным слоем сети, с каждой составляющей, преобразованной в последовательность единичных образов с частотой повторения как предварительно заданной функцией от амплитуды составляющей, представлении сигнала в виде последовательных совокупностей единичных образов в соответствии с предварительно заданными правилами его распознавания с учетом обратных результатов распознавания, сдвигах совокупностей единичных образов вдоль слоев с учетом текущих состояний слоев, запоминании результатов распознавания на элементах сети, использовании в качестве результатов обработки последовательных совокупностей единичных образов на выходном слое сети после обратного преобразования в соответствующие им исходные сигналы, согласно изобретению в сеть в качестве сигнала подают предварительно сформированный групповой сигнал, состоящий из полезного сигнала, просуммированного с первой частью предварительно сформированного шума, и из второй такой же части этого шума, при передаче от слоя к слою групповых совокупностей единичных образов, каждая из которых состоит из сигнально-шумовой группы и шумовой группы единичных образов, копируют из сигнально-шумовых групп единичные образы, относящиеся к полезному сигналу, в соответствующие этим группам шумовые группы, формируют из шумовых групп копии сигнально-шумовых групп единичных образов и обрабатывают эти копии с учетом изменения форм поперечных сечений расходящихся единичных образов и поворотов этих образов вокруг направлений их передачи с учетом текущих состояний слоев.",Групповой сигнал; Шумовой сигнал; Многослойная рекуррентная сеть;
